date,event_count,wildfire_count,storm_count
2024-01-01,1,0,1
2024-01-12,1,0,1
2024-01-15,1,0,1
2024-01-21,1,1,0
2024-01-23,1,0,1
2024-01-25,1,0,1
2024-01-31,1,0,1
2024-02-05,1,0,1
2024-02-07,1,0,1
2024-02-08,2,1,1
2024-02-14,1,1,0
2024-02-15,3,0,3
2024-02-19,1,0,1
2024-02-20,1,1,0
2024-02-24,6,6,0
2024-02-25,2,2,0
2024-02-26,12,12,0
2024-02-27,1,1,0
2024-02-28,6,6,0
2024-02-29,3,3,0
2024-03-01,3,3,0
2024-03-02,3,3,0
2024-03-03,2,2,0
2024-03-04,1,1,0
2024-03-05,2,2,0
2024-03-06,2,2,0
2024-03-10,2,1,1
2024-03-11,1,0,1
2024-03-12,2,2,0
2024-03-14,3,3,0
2024-03-15,2,1,1
2024-03-16,2,2,0
2024-03-17,1,1,0
2024-03-19,4,4,0
2024-03-20,4,4,0
2024-03-21,4,4,0
2024-03-22,3,3,0
2024-03-23,2,2,0
2024-03-26,1,0,1
2024-03-28,2,2,0
2024-03-29,3,3,0
2024-04-01,6,6,0
2024-04-04,1,1,0
2024-04-05,4,3,1
2024-04-06,2,2,0
2024-04-07,1,1,0
2024-04-08,1,1,0
2024-04-09,2,2,0
2024-04-10,10,9,1
2024-04-12,2,2,0
2024-04-15,1,1,0
2024-04-16,2,2,0
2024-04-17,1,1,0
2024-04-18,1,1,0
2024-04-19,2,2,0
2024-04-20,2,2,0
2024-04-22,1,1,0
2024-04-23,3,3,0
2024-04-24,1,1,0
2024-04-29,1,1,0
2024-05-01,8,7,1
2024-05-02,3,3,0
2024-05-03,8,8,0
2024-05-04,1,1,0
2024-05-05,7,7,0
2024-05-06,8,8,0
2024-05-07,5,5,0
2024-05-08,6,6,0
2024-05-09,6,6,0
2024-05-10,9,9,0
2024-05-11,5,5,0
2024-05-12,14,14,0
2024-05-13,19,19,0
2024-05-14,9,9,0
2024-05-15,19,19,0
2024-05-16,14,13,1
2024-05-17,15,15,0
2024-05-18,11,11,0
2024-05-19,14,13,1
2024-05-20,15,15,0
2024-05-21,23,23,0
2024-05-22,12,12,0
2024-05-23,12,12,0
2024-05-24,15,15,0
2024-05-25,15,13,2
2024-05-26,19,19,0
2024-05-27,24,24,0
2024-05-28,39,39,0
2024-05-29,28,28,0
2024-05-30,50,50,0
2024-05-31,44,44,0
2024-06-01,89,89,0
2024-06-02,81,81,0
2024-06-03,79,79,0
2024-06-04,82,82,0
2024-06-05,87,87,0
2024-06-06,94,94,0
2024-06-07,122,122,0
2024-06-08,82,82,0
2024-06-09,87,87,0
2024-06-10,104,104,0
2024-06-11,112,112,0
2024-06-12,33,33,0
2024-06-13,10,10,0
2024-06-14,4,4,0
2024-06-15,13,13,0
2024-06-16,11,11,0
2024-06-17,37,36,1
2024-06-18,23,23,0
2024-06-19,26,26,0
2024-06-20,17,17,0
2024-06-21,21,21,0
2024-06-22,19,19,0
2024-06-23,8,8,0
2024-06-24,37,37,0
2024-06-25,33,33,0
2024-06-26,31,31,0
2024-06-27,24,24,0
2024-06-28,13,13,0
2024-06-29,12,11,1
2024-06-30,19,19,0
2024-07-01,18,17,1
2024-07-02,10,10,0
2024-07-03,17,17,0
2024-07-04,14,13,1
2024-07-05,19,19,0
2024-07-06,14,14,0
2024-07-07,13,13,0
2024-07-08,9,9,0
2024-07-09,25,25,0
2024-07-10,10,10,0
2024-07-11,16,16,0
2024-07-12,19,19,0
2024-07-13,28,28,0
2024-07-14,26,26,0
2024-07-15,31,31,0
2024-07-16,26,26,0
2024-07-17,50,50,0
2024-07-18,47,47,0
2024-07-19,49,49,0
2024-07-20,29,27,2
2024-07-21,31,31,0
2024-07-22,52,52,0
2024-07-23,47,47,0
2024-07-24,56,56,0
2024-07-25,57,56,1
2024-07-26,64,64,0
2024-07-27,45,45,0
2024-07-28,51,51,0
2024-07-29,44,44,0
2024-07-30,55,55,0
2024-07-31,44,43,1
2024-08-01,48,48,0
2024-08-02,25,25,0
2024-08-03,43,41,2
2024-08-04,45,45,0
2024-08-05,63,61,2
2024-08-06,47,47,0
2024-08-07,35,34,1
2024-08-08,63,63,0
2024-08-09,68,68,0
2024-08-10,51,51,0
2024-08-11,46,45,1
2024-08-12,43,41,2
2024-08-13,32,32,0
2024-08-14,29,29,0
2024-08-15,43,43,0
2024-08-16,44,44,0
2024-08-17,28,28,0
2024-08-18,30,29,1
2024-08-19,34,33,1
2024-08-20,36,36,0
2024-08-21,36,36,0
2024-08-22,41,39,2
2024-08-23,27,27,0
2024-08-24,24,24,0
2024-08-25,36,35,1
2024-08-26,23,23,0
2024-08-27,30,30,0
2024-08-28,27,27,0
2024-08-29,20,19,1
2024-08-30,17,17,0
2024-08-31,15,15,0
2024-09-01,25,24,1
2024-09-02,39,39,0
2024-09-03,9,9,0
2024-09-04,3,3,0
2024-09-05,4,3,1
2024-09-06,38,38,0
2024-09-07,43,43,0
2024-09-08,30,30,0
2024-09-09,30,29,1
2024-09-10,29,28,1
2024-09-11,39,39,0
2024-09-12,42,41,1
2024-09-13,23,22,1
2024-09-14,10,10,0
2024-09-15,20,20,0
2024-09-16,26,25,1
2024-09-17,27,27,0
2024-09-18,23,23,0
2024-09-19,24,24,0
2024-09-20,19,19,0
2024-09-21,15,15,0
2024-09-22,11,11,0
2024-09-23,20,19,1
2024-09-24,17,16,1
2024-09-25,24,23,1
2024-09-26,31,30,1
2024-09-27,17,14,3
2024-09-28,27,27,0
2024-09-29,18,18,0
2024-09-30,31,30,1
2024-10-01,20,19,1
2024-10-02,4,4,0
2024-10-03,12,11,1
2024-10-04,18,18,0
2024-10-05,43,42,1
2024-10-06,29,29,0
2024-10-07,16,16,0
2024-10-08,14,14,0
2024-10-09,15,15,0
2024-10-10,9,8,1
2024-10-11,12,12,0
2024-10-12,3,3,0
2024-10-13,1,1,0
2024-10-15,2,2,0
2024-10-16,1,1,0
2024-10-17,8,8,0
2024-10-18,13,13,0
2024-10-19,14,12,2
2024-10-20,15,15,0
2024-10-21,20,18,2
2024-10-22,13,13,0
2024-10-23,13,12,1
2024-10-24,13,13,0
2024-10-25,9,8,1
2024-10-26,12,12,0
2024-10-27,8,8,0
2024-10-28,12,12,0
2024-10-29,10,10,0
2024-10-30,5,5,0
2024-10-31,3,3,0
2024-11-01,1,1,0
2024-11-02,3,1,2
2024-11-03,3,2,1
2024-11-04,5,4,1
2024-11-05,5,5,0
2024-11-06,8,8,0
2024-11-07,17,17,0
2024-11-08,19,19,0
2024-11-09,13,11,2
2024-11-10,6,6,0
2024-11-11,9,8,1
2024-11-12,9,9,0
2024-11-13,13,13,0
2024-11-14,12,10,2
2024-11-15,9,9,0
2024-11-16,3,3,0
2024-11-17,5,5,0
2024-11-18,5,5,0
2024-11-19,6,6,0
2024-11-20,7,7,0
2024-11-21,11,11,0
2024-11-22,5,5,0
2024-11-23,2,2,0
2024-11-24,7,7,0
2024-11-25,1,1,0
2024-11-26,4,4,0
2024-11-27,3,2,1
2024-11-28,2,2,0
2024-11-29,2,1,1
2024-11-30,3,3,0
2024-12-01,4,4,0
2024-12-02,2,2,0
2024-12-03,2,2,0
2024-12-04,6,6,0
2024-12-05,5,5,0
2024-12-06,6,6,0
2024-12-07,6,6,0
2024-12-08,6,6,0
2024-12-09,7,6,1
2024-12-10,5,5,0
2024-12-11,4,4,0
2024-12-12,11,11,0
2024-12-13,8,8,0
2024-12-14,3,3,0
2024-12-15,5,5,0
2024-12-16,8,8,0
2024-12-17,6,6,0
2024-12-18,5,5,0
2024-12-19,8,8,0
2024-12-20,4,4,0
2024-12-21,10,10,0
2024-12-22,9,9,0
2024-12-23,11,11,0
2024-12-24,7,7,0
2024-12-25,5,5,0
2024-12-26,13,12,1
2024-12-27,19,19,0
2024-12-28,17,16,1
2024-12-29,8,8,0
2024-12-30,8,8,0
2024-12-31,11,11,0
